menge;p_artikel-p_artikelnr;Lagerort;reservierteMenge;Lagerstandort;mengeFuerAuftraege
82;86037522;420;0;10004;0
290;67335959;420;0;10004;0
165;79695230;420;0;10004;0
277;52626907;420;0;10004;0
79;24350967;420;0;10004;0
36;34412612;420;0;10004;0
36;60199203;420;0;10004;0
140;66439137;420;0;10004;0
118;33371525;420;0;10004;0
118;96472304;420;0;10004;0
208;69192616;420;0;10004;0
182;64460907;420;0;10004;0
97;65379323;420;0;10004;0
56;75851803;420;0;10004;0
206;70458732;420;0;10004;0
1385;21573759;420;0;10004;0
133;58769912;420;0;10004;0
1560;13488758;420;0;10004;0
48;12395821;420;0;10004;0
16;12395821;440;0;10004;0
143;63877137;420;0;10004;0
378;14447007;420;0;10004;0
374;39815016;420;0;10004;0
130;48298530;420;0;10004;0
102;54266953;420;0;10004;0
16;44986230;420;0;10004;0
2;53018954;420;0;10004;0
32;34633920;420;0;10004;0
118;74320764;420;0;10004;0
118;73732053;420;0;10004;0
48;33903567;420;0;10004;0
403;33903567;410;0;10004;0
76;50740726;420;0;10004;0
108;10547155;420;0;10004;0
293;24650050;420;0;10004;0
172;89537824;420;0;10004;0
122;47599165;420;0;10004;0
50;47599165;410;0;10004;0
42;10068122;420;0;10004;0
22;46632132;420;0;10004;0
36;81448614;420;0;10004;0
88;69908268;420;0;10004;0
26;33289968;420;0;10004;0
36;93235827;420;0;10004;0
218;99697130;420;0;10004;0
42;37937863;420;0;10004;0
198;67935833;420;0;10004;0
60;94429353;420;0;10004;0
2;72579519;420;0;10004;0
40;72579519;410;0;10004;0
60;71090326;410;0;10004;0
196;70183927;420;0;10004;0
102;73740715;420;0;10004;0
50;73740715;410;0;10004;0
9;25187033;420;0;10004;0
215;49781013;420;0;10004;0
110;49781013;410;0;10004;0
33;64569426;420;0;10004;0
204;55450536;420;0;10004;0
43;24509445;420;0;10004;0
1;59411632;420;0;10004;0
204;59411632;410;0;10004;0
102;85765706;420;0;10004;0
96;15343341;420;0;10004;0
41;91482931;420;0;10004;0
101;53798900;420;0;10004;0
52;26723135;420;0;10004;0
53;92028210;420;0;10004;0
204;32257543;410;0;10004;0
30;75768538;420;0;10004;0
20;89513241;420;0;10004;0
30;98584002;420;0;10004;0
21;23067710;420;0;10004;0
130;74290508;420;0;10004;0
379;99754226;420;0;10004;0
40;23280844;410;0;10004;0
150;68198438;420;0;10004;0
10;30586143;420;0;10004;0
36;22485526;420;0;10004;0
55;22485526;410;0;10004;0
40;76039012;420;0;10004;0
1;35753453;420;0;10004;0
116;91640311;420;0;10004;0
31;43411637;420;0;10004;0
60;43411637;410;0;10004;0
36;30060750;420;0;10004;0
39;86655513;420;0;10004;0
39;59749267;420;0;10004;0
39;35103864;420;0;10004;0
39;60805543;420;0;10004;0
2;25450614;420;0;10004;0
64;46261557;420;0;10004;0
40;84422059;420;0;10004;0
1;36522968;420;0;10004;0
120;36522968;410;0;10004;0
195;81007401;420;0;10004;0
130;53677266;420;0;10004;0
45;53677266;410;0;10004;0
36;87302357;420;0;10004;0
55;27659546;410;0;10004;0
116;90445138;420;0;10004;0
160;90445138;410;0;10004;0
199;94433257;420;0;10004;0
1;40531156;420;0;10004;0
206;34322637;420;0;10004;0
54;45176855;420;0;10004;0
150;45176855;410;0;10004;0
22;59697661;420;0;10004;0
10;32803127;420;0;10004;0
4;96391662;420;0;10004;0
100;96391662;410;0;10004;0
541;98311454;420;0;10004;0
84;72287817;420;0;10004;0
43;41274807;420;0;10004;0
112;74468445;420;0;10004;0
120;74468445;410;0;10004;0
30;83748558;410;0;10004;0
3;56196322;420;0;10004;0
90;56196322;410;0;10004;0
69;24545008;420;0;10004;0
62;59688206;420;0;10004;0
200;88394013;420;0;10004;0
200;88394013;410;0;10004;0
19;61381322;420;0;10004;0
80;35827202;420;0;10004;0
134;11707436;420;0;10004;0
80;10188841;410;0;10004;0
25;35839768;420;0;10004;0
55;35839768;410;0;10004;0
275;96249410;420;0;10004;0
182;57318539;420;0;10004;0
350;62751931;420;0;10004;0
200;88983456;420;0;10004;0
70;92557324;420;0;10004;0
69;20682305;420;0;10004;0
180;64119551;420;0;10004;0
145;22141852;420;0;10004;0
152;88887747;420;0;10004;0
90;40166315;420;0;10004;0
141;83509316;420;0;10004;0
86;82331345;420;0;10004;0
93;76195050;420;0;10004;0
188;85934737;420;0;10004;0
137;11256158;420;0;10004;0
190;28237460;420;0;10004;0
120;83292644;420;0;10004;0
75;39851128;420;0;10004;0
185;51261849;420;0;10004;0
246;63406217;420;0;10004;0
199;66726203;420;0;10004;0
80;42705806;420;0;10004;0
140;14767257;420;0;10004;0
385;34856936;420;0;10004;0
40;32378628;420;0;10004;0
285;59194716;420;0;10004;0
60;33892709;420;0;10004;0
260;44133633;420;0;10004;0
310;25670519;420;0;10004;0
209;20701764;420;0;10004;0
184;52807223;420;0;10004;0
246;44573260;420;0;10004;0
160;75039161;420;0;10004;0
80;32201728;420;0;10004;0
308;47107932;420;0;10004;0
50;76377745;420;0;10004;0
106;27484415;420;0;10004;0
44;62516959;420;0;10004;0
135;88625203;420;0;10004;0
82;45736530;420;0;10004;0
